"N","avh_rate","n_avh_trials","n_nonavh_trials","power","se"
20,0.1,6,54,0.265,0.0139561814261638
20,0.2,12,48,0.286,0.0142899965010493
20,0.35,21,39,0.347,0.0150529399121899
30,0.1,6,54,0.372,0.0152845019545944
30,0.2,12,48,0.443,0.0157083099027235
30,0.35,21,39,0.471,0.0157847711418316
40,0.1,6,54,0.521,0.015797436500901
40,0.2,12,48,0.561,0.0156932788161047
40,0.35,21,39,0.613,0.015402305022301
50,0.1,6,54,0.575,0.0156324982008635
50,0.2,12,48,0.637,0.0152062815967613
50,0.35,21,39,0.702,0.0144636095080032
